"R0000100","R0214800","T8089600","T8089800","T8218700","T8219400"
702,1,158,8,8928,58
703,2,142,8,24000,56
704,2,160,0,50000,60
705,1,-5,-5,-5,-5
706,2,108,2,-3,61
707,1,235,2,68500,57
708,2,190,3,9744,58
709,1,206,9,-3,57
710,1,-5,-5,-5,-5
711,1,225,1,42000,57
712,2,155,3,150000,59
713,2,-5,-5,-5,-5
714,1,250,7,39000,54
715,1,-5,-5,-5,-5
716,1,-5,-5,-5,-5
717,1,230,3,64000,56
718,1,350,8,-3,59
719,1,220,8,67760,59
720,2,185,1,32000,57
721,2,128,2,94000,56
722,1,-5,-5,-5,-5
723,2,160,2,38604,56
724,2,150,6,102693,57
725,1,200,9,188200,55
726,2,-5,-5,-5,-5
727,1,-5,-5,-5,-5
728,1,-5,-5,-5,-5
729,1,180,8,0,59
730,1,200,0,255600,58
731,1,200,10,45000,61
732,1,235,8,100000,59
733,2,150,8,91200,55
734,2,-5,-5,-5,-5
735,1,165,1,-3,57
736,2,-5,-5,-5,-5
737,1,175,10,3600,56
738,1,-5,-5,-5,-5
739,2,-5,-5,-5,-5
740,2,220,6,56000,55
741,1,-5,-5,-5,-5
742,1,217,1,160000,60
743,2,150,8,-3,59
744,2,162,7,11447,58
745,2,162,0,45000,61
746,2,150,4,58000,57
747,1,-5,-5,-5,-5
748,2,-5,-5,-5,-5
749,1,-5,-5,-5,-5
750,1,-5,-5,-5,-5
751,1,250,9,82000,55
752,2,150,7,210000,61
753,1,165,10,-3,59
754,1,-5,-5,-5,-5
755,2,176,4,56744,57
756,2,219,3,23000,54
757,2,178,9,-3,57
758,2,154,6,14400,59
759,2,212,9,11664,58
760,1,-5,-5,-5,-5
761,2,180,5,26654,59
762,1,250,5,70000,58
763,1,190,10,10190,56
764,2,158,0,0,55
765,1,-5,-5,-5,-5
766,1,-5,-5,-5,-5
767,1,-5,-5,-5,-5
768,2,160,2,140050,56
769,1,145,10,-3,58
770,2,100,2,32000,57
771,1,-5,-5,-5,-5
772,1,226,9,117000,59
773,1,-5,-5,-5,-5
774,1,150,6,60200,58
775,2,125,2,206000,60
776,1,170,9,296500,57
777,1,165,2,160025,56
778,1,245,0,98000,54
779,2,-5,-5,-5,-5
780,1,-5,-5,-5,-5
781,2,-5,-5,-5,-5
782,1,-4,-4,-3,61
783,2,-5,-5,-5,-5
784,1,-5,-5,-5,-5
785,2,-5,-5,-5,-5
786,1,-5,-5,-5,-5
787,2,-5,-5,-5,-5
788,2,-5,-5,-5,-5
789,2,163,2,96000,58
790,2,-5,-5,-5,-5
791,1,-5,-5,-5,-5
792,2,170,3,18000,58
793,1,210,0,-3,60
794,1,-5,-5,-5,-5
795,1,-5,-5,-5,-5
796,1,198,8,190000,58
797,1,345,0,-3,57
798,2,124,4,0,57
799,1,232,2,80000,55
800,1,175,10,87500,58
801,2,185,5,29959,58
802,1,250,0,60000,56
803,2,160,8,120604,56
804,2,288,9,-3,55
805,2,-5,-5,-5,-5
806,1,-5,-5,-5,-5
807,1,225,2,151500,56
808,2,-5,-5,-5,-5
809,1,-5,-5,-5,-5
810,2,170,1,93000,58
811,2,200,3,71020,59
812,2,170,6,-3,58
813,1,160,11,50050,59
814,2,243,4,30904,61
815,1,-5,-5,-5,-5
816,2,135,4,17148,60
817,1,270,6,177536,54
818,1,187,6,34400,61
819,1,-5,-5,-5,-5
820,2,165,2,237180,57
821,2,118,5,99000,60
822,1,-5,-5,-5,-5
823,1,215,9,32500,58
824,2,-5,-5,-5,-5
825,1,175,10,110580,60
826,1,-5,-5,-5,-5
827,1,140,9,235000,59
828,2,155,8,8400,57
829,2,183,5,55500,61
830,2,-5,-5,-5,-5
831,2,-5,-5,-5,-5
832,1,240,0,21644,56
833,1,220,10,20000,54
834,2,192,2,-3,58
835,2,187,6,146800,55
836,2,100,0,17000,57
837,1,-5,-5,-5,-5
838,1,-5,-5,-5,-5
839,2,200,4,18204,59
840,2,-5,-5,-5,-5
841,2,-1,4,58824,59
842,2,230,5,-3,58
843,2,140,0,25000,56
844,1,196,9,38140,56
845,2,-5,-5,-5,-5
846,2,170,3,61000,55
847,1,172,7,147000,60
848,2,160,6,57000,60
849,2,250,11,88000,58
850,1,200,8,110000,56
851,1,172,0,49920,58
852,2,118,2,13392,58
853,1,-5,-5,-5,-5
854,2,175,2,103000,56
855,2,145,4,75400,60
856,2,170,7,34050,58
857,2,130,4,-3,57
858,2,-5,-5,-5,-5
859,1,200,8,68000,57
860,1,135,7,29576,57
